,Player,Age,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional,Team,Season,Bats,Red Sox,Twins,Yankees,2022,2023,2024
0,Christian Vázquez,31,2.2,84,318,294,33,83,20,0,8,42,1,2,18,51,0.282,0.327,0.432,0.759,109.0,0.331,108.0,127,7,3,0,3,0,2/3H4,,vazquch01,Red Sox,2022,R,True,False,False,True,False,False
1,Bobby Dalbec,27,-0.7,117,353,317,40,68,9,2,12,39,3,0,29,118,0.215,0.283,0.369,0.652,80.0,0.302,83.0,117,5,3,0,4,0,35H/D46,,dalbebo01,Red Sox,2022,R,True,False,False,True,False,False
2,Trevor Story,29,2.5,94,396,357,53,85,22,0,16,66,13,0,32,122,0.238,0.303,0.434,0.737,102.0,0.334,102.0,155,9,3,0,4,4,4/H,,storytr01,Red Sox,2022,R,True,False,False,True,False,False
3,Xander Bogaerts,29,5.9,150,631,557,84,171,38,0,15,73,8,2,57,118,0.307,0.377,0.456,0.833,131.0,0.367,131.0,254,14,10,0,7,2,*6/DH,ASMVP-9SS,bogaexa01,Red Sox,2022,R,True,False,False,True,False,False
4,Rafael Devers,25,4.5,141,614,555,84,164,42,1,27,88,3,1,50,114,0.295,0.358,0.521,0.879,141.0,0.381,143.0,289,14,6,0,3,11,*5/DH,ASMVP-14,deverra01,Red Sox,2022,L,True,False,False,True,False,False
5,Alex Verdugo,26,1.1,152,644,593,75,166,39,1,11,74,1,3,42,86,0.28,0.328,0.405,0.732,102.0,0.323,101.0,240,14,3,0,6,2,*79/DH,,verdual01,Red Sox,2022,L,True,False,False,True,False,False
6,Kiké Hernández,30,0.9,93,402,361,48,80,24,0,6,45,0,2,34,71,0.222,0.291,0.338,0.629,75.0,0.284,73.0,122,11,3,0,4,0,846/H,,hernaen02,Red Sox,2022,R,True,False,False,True,False,False
7,Jackie Bradley Jr.,32,-0.4,91,290,271,21,57,19,1,3,29,2,3,17,58,0.21,0.257,0.321,0.578,60.0,0.257,54.0,87,3,0,2,0,0,98/H1,,bradlja02,Red Sox,2022,L,True,False,False,True,False,False
8,J.D. Martinez,34,1.1,139,596,533,76,146,43,1,16,62,0,0,52,145,0.274,0.341,0.448,0.79,117.0,0.346,117.0,239,20,5,0,5,1,*D,AS,martijd02,Red Sox,2022,R,True,False,False,True,False,False
9,Christian Arroyo,27,0.7,87,300,280,32,80,16,1,6,36,5,1,13,49,0.286,0.322,0.414,0.736,103.0,0.324,99.0,116,7,3,2,2,2,4965/3DH,,arroych01,Red Sox,2022,R,True,False,False,True,False,False
10,Franchy Cordero,27,-0.2,84,275,242,36,53,17,1,8,29,4,1,28,92,0.219,0.3,0.397,0.697,92.0,0.309,89.0,96,1,1,2,2,1,397H/D8,,cordefr02,Red Sox,2022,L,True,False,False,True,False,False
11,Tommy Pham,34,-0.3,53,235,214,32,50,12,0,6,24,1,1,14,67,0.234,0.298,0.374,0.672,86.0,0.301,85.0,80,7,6,0,1,0,7/D,,phamth01,Red Sox,2022,R,True,False,False,True,False,False
12,Jarren Duran,25,-0.1,58,223,204,23,45,14,3,3,17,7,1,14,63,0.221,0.283,0.363,0.645,78.0,0.299,79.0,74,1,4,0,1,0,8/9HD,,duranja01,Red Sox,2022,L,True,False,False,True,False,False
13,Rob Refsnyder,31,0.9,57,177,153,25,47,11,0,6,21,1,1,15,46,0.307,0.384,0.497,0.881,143.0,0.385,146.0,76,1,6,0,3,0,9H8/D7,,refsnro01,Red Sox,2022,R,True,False,False,True,False,False
14,Kevin Plawecki,31,-1.1,60,175,157,15,34,8,0,1,12,0,0,14,28,0.217,0.287,0.287,0.574,61.0,0.26,54.0,45,5,2,1,1,0,2/H1,,plaweke01,Red Sox,2022,R,True,False,False,True,False,False
15,Reese McGuire,27,0.9,36,108,98,13,33,5,1,3,12,1,0,6,23,0.337,0.377,0.5,0.877,142.0,0.382,142.0,49,4,1,1,1,0,2/H1,,mcguire01,Red Sox,2022,L,True,False,False,True,False,False
16,Triston Casas,22,0.1,27,95,76,11,15,1,0,5,12,1,0,19,23,0.197,0.358,0.408,0.766,113.0,0.354,120.0,31,4,0,0,0,0,3/H,,casastr01,Red Sox,2022,L,True,False,False,True,False,False
17,Connor Wong,26,-0.1,27,56,48,8,9,3,0,1,7,0,0,5,16,0.188,0.273,0.313,0.585,63.0,0.256,51.0,15,0,1,1,1,0,2/H45D,,wongco01,Red Sox,2022,R,True,False,False,True,False,False
18,Eric Hosmer,32,0.0,14,50,45,6,11,3,0,0,4,0,0,4,9,0.244,0.32,0.311,0.631,77.0,0.341,113.0,14,2,1,0,0,0,3,,hosmeer01,Red Sox,2022,L,True,False,False,True,False,False
19,Yolmer Sánchez,30,-0.5,14,44,37,1,4,0,0,0,2,0,2,5,13,0.108,0.214,0.108,0.322,-6.0,0.139,-22.0,4,0,0,2,0,0,1-Apr,,sanchca01,Red Sox,2022,S,True,False,False,True,False,False
20,Jeter Downs,23,-0.6,14,41,39,4,6,1,0,1,4,0,0,1,21,0.154,0.171,0.256,0.427,17.0,0.183,-1.0,10,0,0,0,1,0,/45H6D,,downsje01,Red Sox,2022,R,True,False,False,True,False,False
21,Abraham Almonte,33,0.0,15,37,35,7,9,2,0,1,2,1,0,1,12,0.257,0.297,0.4,0.697,92.0,0.333,103.0,14,1,1,0,0,0,/H87D9,,almonab01,Red Sox,2022,S,True,False,False,True,False,False
22,Jaylin Davis,27,0.2,12,27,24,4,8,1,0,0,2,0,0,3,11,0.333,0.407,0.375,0.782,120.0,0.356,124.0,9,0,0,0,0,0,/H897,,davisja03,Red Sox,2022,R,True,False,False,True,False,False
23,Yu Chang,26,0.0,11,26,20,3,3,2,0,0,1,0,0,5,7,0.15,0.346,0.25,0.596,70.0,0.291,77.0,5,1,1,0,0,0,/643,,changyu01,Red Sox,2022,R,True,False,False,True,False,False
24,Travis Shaw,32,-0.7,7,19,19,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.0,-100.0,0.0,-134.0,0,0,0,0,0,0,/3DH,,shawtr01,Red Sox,2022,L,True,False,False,True,False,False
25,Jonathan Araúz,23,-0.4,6,12,10,1,0,0,0,0,1,0,0,0,3,0.0,0.0,0.0,0.0,-100.0,0.0,-155.0,0,0,0,1,1,0,/46H,,arauzjo01,Red Sox,2022,S,True,False,False,True,False,False
26,Connor Wong,27,2.2,126,403,371,55,87,25,2,9,36,8,2,22,134,0.235,0.288,0.385,0.673,80.0,0.299,78.0,143,4,6,3,1,0,*2H/4D,,wongco01,Red Sox,2023,R,True,False,False,False,True,False
27,Triston Casas,23,2.2,132,502,429,66,113,21,2,24,65,0,0,70,126,0.263,0.367,0.49,0.856,129.0,0.369,130.0,210,7,1,0,2,2,*3H/D,ROY-3,casastr01,Red Sox,2023,L,True,False,False,False,True,False
28,Christian Arroyo,28,-0.2,66,206,195,23,47,16,0,3,24,1,3,7,45,0.241,0.268,0.369,0.638,70.0,0.266,61.0,72,8,1,1,2,0,4/H56,,arroych01,Red Sox,2023,R,True,False,False,False,True,False
29,Kiké Hernández,31,-0.6,86,323,297,38,66,11,0,6,31,3,1,22,68,0.222,0.279,0.32,0.599,62.0,0.268,57.0,95,11,2,0,2,0,648/H,,hernaen02,Red Sox,2023,R,True,False,False,False,True,False
30,Rafael Devers,26,3.5,153,656,580,90,157,34,0,33,100,5,1,62,126,0.271,0.351,0.5,0.851,126.0,0.365,126.0,290,15,11,0,3,10,*5/DH6,MVP-18SS,deverra01,Red Sox,2023,L,True,False,False,False,True,False
31,Masataka Yoshida,29,1.4,140,580,537,71,155,33,3,15,72,8,0,34,81,0.289,0.338,0.445,0.783,109.0,0.348,112.0,239,20,7,0,2,0,7D/H,ROY-6,yoshima02,Red Sox,2023,L,True,False,False,False,True,False
32,Jarren Duran,26,2.1,102,362,332,46,98,34,2,8,40,24,2,24,90,0.295,0.346,0.482,0.828,121.0,0.366,119.0,160,3,3,0,2,1,87H/9D,,duranja01,Red Sox,2023,L,True,False,False,False,True,False
33,Alex Verdugo,27,2.6,142,602,546,81,144,37,5,13,54,5,3,45,93,0.264,0.324,0.421,0.745,100.0,0.324,98.0,230,11,6,0,5,1,*9/H,,verdual01,Red Sox,2023,L,True,False,False,False,True,False
34,Justin Turner,38,2.1,146,626,558,86,154,31,0,23,96,4,1,51,110,0.276,0.345,0.455,0.8,114.0,0.35,116.0,254,10,11,0,6,0,D34/5H,,turneju01,Red Sox,2023,R,True,False,False,False,True,False
35,Adam Duvall,34,1.6,92,353,320,45,79,24,2,21,58,4,0,22,110,0.247,0.303,0.531,0.834,119.0,0.349,114.0,170,0,6,0,5,1,89/H7D,,duvalad01,Red Sox,2023,R,True,False,False,False,True,False
36,Rob Refsnyder,32,0.4,89,243,202,31,50,9,1,1,28,7,2,33,47,0.248,0.365,0.317,0.682,87.0,0.327,98.0,64,8,5,1,1,0,7H8/D9,,refsnro01,Red Sox,2023,R,True,False,False,False,True,False
37,Reese McGuire,28,-0.3,72,206,187,15,50,12,1,1,16,2,1,11,53,0.267,0.31,0.358,0.668,80.0,0.295,76.0,67,2,1,2,1,0,2H/D,,mcguire01,Red Sox,2023,L,True,False,False,False,True,False
38,Pablo Reyes,29,0.4,64,185,167,27,48,9,0,2,20,7,2,14,21,0.287,0.339,0.377,0.716,94.0,0.329,99.0,63,3,0,2,2,0,64H/513D,,reyespa01,Red Sox,2023,R,True,False,False,False,True,False
39,Trevor Story,30,0.8,43,168,158,12,32,9,0,3,14,10,3,9,55,0.203,0.25,0.316,0.566,52.0,0.272,58.0,50,2,1,0,0,0,6/DH4,,storytr01,Red Sox,2023,R,True,False,False,False,True,False
40,Enmanuel Valdéz,24,0.0,49,149,139,17,37,8,0,6,19,5,1,8,37,0.266,0.311,0.453,0.764,103.0,0.335,102.0,63,4,1,0,0,0,4/H6D,,valdeen01,Red Sox,2023,L,True,False,False,False,True,False
41,Yu Chang,27,0.1,39,112,105,12,17,2,0,6,18,4,0,3,34,0.162,0.2,0.352,0.552,45.0,0.252,39.0,37,2,2,2,0,0,6/4H35D,,changyu01,Red Sox,2023,R,True,False,False,False,True,False
42,Luis Urías,26,0.0,32,109,89,13,20,4,0,2,13,0,0,14,26,0.225,0.361,0.337,0.698,91.0,0.317,93.0,30,3,5,0,0,0,4/5H,,uriaslu01,Red Sox,2023,R,True,False,False,False,True,False
43,Raimel Tapia,29,0.4,39,97,87,14,23,4,1,1,10,6,1,9,19,0.264,0.333,0.368,0.701,90.0,0.325,92.0,32,1,0,0,0,0,H7/89D,,tapiara01,Red Sox,2023,L,True,False,False,False,True,False
44,Ceddanne Rafaela,22,0.0,28,89,83,11,20,6,0,2,5,3,1,4,28,0.241,0.281,0.386,0.666,78.0,0.287,70.0,32,2,1,0,1,0,8/H64D,,rafaece01,Red Sox,2023,R,True,False,False,False,True,False
45,Wilyer Abreu,24,0.8,28,85,76,10,24,6,0,2,14,3,1,9,23,0.316,0.388,0.474,0.862,132.0,0.373,131.0,36,0,0,0,0,0,78/H9D,,abreuwi02,Red Sox,2023,L,True,False,False,False,True,False
46,Bobby Dalbec,28,-0.2,21,53,49,6,10,2,0,1,1,1,0,4,28,0.204,0.264,0.306,0.57,54.0,0.259,48.0,15,0,0,0,0,0,3/H5D46,,dalbebo01,Red Sox,2023,R,True,False,False,False,True,False
47,David Hamilton,25,-0.1,15,39,33,2,4,2,0,0,0,2,1,6,10,0.121,0.256,0.182,0.438,22.0,0.215,21.0,6,1,0,0,0,0,6/4H,,hamilda03,Red Sox,2023,L,True,False,False,False,True,False
48,Jorge Alfaro,30,-0.1,8,20,17,0,2,0,0,0,0,0,0,2,3,0.118,0.25,0.118,0.368,5.0,0.195,5.0,2,1,1,0,0,0,/2DH,,alfarjo01,Red Sox,2023,R,True,False,False,False,True,False
49,Caleb Hamilton,28,-0.1,4,6,5,0,0,0,0,0,0,0,0,1,5,0.0,0.167,0.0,0.167,-49.0,0.115,-51.0,0,0,0,0,0,0,/2,,hamilca01,Red Sox,2023,R,True,False,False,False,True,False
50,Kutter Crawford,27,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1/H,,crawfku01,Red Sox,2023,R,True,False,False,False,True,False
51,Tayler Scott,31,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,scottta02,Red Sox,2023,R,True,False,False,False,True,False
52,John Schreiber,29,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,schrejo01,Red Sox,2023,R,True,False,False,False,True,False
53,Nick Pivetta,30,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,pivetni01,Red Sox,2023,R,True,False,False,False,True,False
54,Garrett Whitlock,27,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,whitlga01,Red Sox,2023,R,True,False,False,False,True,False
55,Chris Martin,37,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,CYA-12,martich02,Red Sox,2023,R,True,False,False,False,True,False
56,Kenley Jansen,35,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,AS,janseke01,Red Sox,2023,S,True,False,False,False,True,False
57,Connor Wong,28,1.6,126,487,447,54,125,24,1,13,52,8,7,28,114,0.28,0.333,0.425,0.758,110.0,0.327,107.0,190,7,9,1,2,1,23DH/47,,wongco01,Red Sox,2024,R,True,False,False,False,False,True
58,Dominic Smith,29,0.0,84,278,249,29,59,20,0,6,34,1,1,25,65,0.237,0.317,0.39,0.706,96.0,0.314,96.0,97,7,4,0,0,0,3H/D1,,smithdo02,Red Sox,2024,L,True,False,False,False,False,True
59,Enmanuel Valdéz,25,-0.6,76,223,201,23,43,12,0,6,28,1,1,17,53,0.214,0.27,0.363,0.633,74.0,0.277,70.0,73,4,0,1,4,0,4H/D57,,valdeen01,Red Sox,2024,L,True,False,False,False,False,True
60,Ceddanne Rafaela,23,2.8,152,571,544,70,134,23,5,15,75,19,10,15,151,0.246,0.274,0.39,0.664,82.0,0.299,85.0,212,8,7,2,3,1,864/5H9,,rafaece01,Red Sox,2024,R,True,False,False,False,False,True
61,Rafael Devers,27,3.7,138,601,525,87,143,34,5,28,83,3,0,67,147,0.272,0.354,0.516,0.871,139.0,0.368,134.0,271,13,3,0,6,14,*5/D,ASMVP-13,deverra01,Red Sox,2024,L,True,False,False,False,False,True
62,Tyler O'Neill,29,2.6,113,473,411,74,99,18,0,31,61,4,0,53,159,0.241,0.336,0.511,0.847,132.0,0.365,131.0,210,13,7,0,2,5,79D/H,,oneilty01,Red Sox,2024,R,True,False,False,False,False,True
63,Jarren Duran,27,8.7,160,735,671,111,191,48,14,21,75,34,7,54,160,0.285,0.342,0.492,0.834,129.0,0.373,134.0,330,6,6,1,3,1,*87,ASMVP-8,duranja01,Red Sox,2024,L,True,False,False,False,False,True
64,Wilyer Abreu,25,3.4,132,447,399,59,101,33,2,15,58,8,3,40,125,0.253,0.322,0.459,0.781,114.0,0.339,112.0,183,7,3,0,5,0,*9H/78D,ROY-6GG,abreuwi02,Red Sox,2024,L,True,False,False,False,False,True
65,Masataka Yoshida,30,1.4,108,421,378,45,106,21,0,10,56,2,0,27,52,0.28,0.349,0.415,0.765,112.0,0.341,114.0,157,6,14,0,2,0,DH/7,,yoshima02,Red Sox,2024,L,True,False,False,False,False,True
66,David Hamilton,26,2.6,98,317,294,47,73,17,1,8,28,33,4,22,80,0.248,0.303,0.395,0.697,92.0,0.331,95.0,116,1,1,0,0,0,64H,,hamilda03,Red Sox,2024,L,True,False,False,False,False,True
67,Rob Refsnyder,33,0.8,93,307,272,32,77,16,1,11,40,2,2,28,78,0.283,0.359,0.471,0.83,129.0,0.354,126.0,128,6,5,0,1,2,79HD,,refsnro01,Red Sox,2024,R,True,False,False,False,False,True
68,Triston Casas,24,0.6,63,243,212,28,51,8,0,13,32,0,1,30,77,0.241,0.337,0.462,0.8,120.0,0.34,116.0,98,6,1,0,0,4,3/HD,,casastr01,Red Sox,2024,L,True,False,False,False,False,True
69,Romy González,27,0.9,89,216,199,25,53,10,1,6,29,11,3,12,58,0.266,0.306,0.417,0.723,99.0,0.326,100.0,83,5,1,0,4,0,H4635/97D8,,gonzaro01,Red Sox,2024,R,True,False,False,False,False,True
70,Reese McGuire,29,0.1,53,158,139,10,29,3,0,3,18,3,0,13,39,0.209,0.28,0.295,0.575,61.0,0.269,60.0,41,4,2,1,3,0,2/HD,,mcguire01,Red Sox,2024,L,True,False,False,False,False,True
71,Vaughn Grissom,23,-0.2,31,114,105,10,20,3,0,0,6,2,0,7,24,0.19,0.246,0.219,0.465,31.0,0.234,35.0,23,3,1,0,1,0,4/DH,,grissva01,Red Sox,2024,R,True,False,False,False,False,True
72,Trevor Story,31,0.7,26,106,94,8,24,7,0,2,10,6,3,11,33,0.255,0.34,0.394,0.733,104.0,0.325,104.0,37,2,1,0,0,2,6,,storytr01,Red Sox,2024,R,True,False,False,False,False,True
73,Danny Jansen,29,0.1,30,96,80,8,15,0,0,3,6,0,0,15,19,0.188,0.323,0.3,0.623,75.0,0.307,90.0,24,3,1,0,0,0,2/HD,,janseda01,Red Sox,2024,R,True,False,False,False,False,True
74,Bobby Dalbec,29,-0.8,37,93,83,6,11,2,0,1,8,3,0,8,43,0.133,0.217,0.193,0.41,16.0,0.196,4.0,16,1,1,1,0,0,35/H9D,,dalbebo01,Red Sox,2024,R,True,False,False,False,False,True
75,Nick Sogard,26,0.3,31,86,77,13,21,4,0,0,8,3,0,7,25,0.273,0.326,0.325,0.65,82.0,0.299,79.0,25,4,0,0,2,0,4/65H3,,sogarni01,Red Sox,2024,S,True,False,False,False,False,True
76,Garrett Cooper,33,-0.9,24,75,70,3,12,4,0,0,5,0,0,3,22,0.171,0.227,0.229,0.455,28.0,0.207,19.0,16,2,2,0,0,0,3/DH,,coopega03,Red Sox,2024,R,True,False,False,False,False,True
