,Player,Age,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional,Team,Season,Bats,Red Sox,Twins,Yankees,2022,2023,2024
155,J.D. Davis,31,-0.2,7,22,19,1,2,1,0,0,1,0,0,3,9,0.105,0.227,0.158,0.385,13.0,0.191,12.0,3,2,0,0,0,0,/3DH,,davisjd01,Yankees,2024,R,False,False,True,False,False,True
156,Carlos Narváez,25,0.1,6,15,13,0,3,0,0,0,0,0,0,2,6,0.231,0.333,0.231,0.564,65.0,0.27,69.0,3,0,0,0,0,0,/2H,,narvaca01,Yankees,2024,R,False,False,True,False,False,True
157,Oswald Peraza,24,0.1,4,11,10,2,2,0,0,1,1,0,0,1,3,0.2,0.273,0.5,0.773,113.0,0.329,110.0,5,0,0,0,0,0,/5,,perazos02,Yankees,2024,R,False,False,True,False,False,True
158,Taylor Trammell,26,-0.1,5,2,1,2,1,0,0,0,0,0,0,1,0,1.0,1.0,1.0,2.0,472.0,0.79,435.0,1,0,0,0,0,0,/H79D,,trammta01,Yankees,2024,L,False,False,True,False,False,True
159,Duke Ellis,26,0.1,3,1,1,0,1,0,0,0,0,1,0,0,0,1.0,1.0,1.0,2.0,473.0,1.142,536.0,1,0,0,0,0,0,/H7,,ellisdu01,Yankees,2024,L,False,False,True,False,False,True
160,Kevin Smith,27,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/HD,,smithke05,Yankees,2024,R,False,False,True,False,False,True
161,Gary Sánchez,29,0.8,128,471,419,42,86,24,0,16,61,2,0,40,136,0.205,0.282,0.377,0.659,88.0,0.291,84.0,158,12,7,0,5,0,2DH/3,,sanchga02,Twins,2022,R,False,True,False,True,False,False
162,José Miranda,24,0.9,125,483,444,45,119,25,0,15,66,1,1,28,91,0.268,0.325,0.426,0.751,114.0,0.334,116.0,189,19,10,0,1,0,35D/H,,miranjo01,Twins,2022,R,False,True,False,True,False,False
163,Jorge Polanco,28,2.7,104,445,375,54,88,16,0,16,56,3,3,64,95,0.235,0.346,0.405,0.751,115.0,0.335,117.0,152,4,2,0,4,1,4/6DH,,polanjo01,Twins,2022,S,False,True,False,True,False,False
164,Carlos Correa,27,5.3,136,590,522,70,152,24,1,22,64,0,1,61,121,0.291,0.366,0.467,0.834,138.0,0.367,140.0,244,18,3,0,4,2,*6/DH,,correca01,Twins,2022,R,False,True,False,True,False,False
165,Gio Urshela,30,3.0,144,551,501,61,143,27,3,13,64,1,0,41,96,0.285,0.338,0.429,0.767,119.0,0.334,115.0,215,21,2,0,7,2,*5/DH6,,urshegi01,Twins,2022,R,False,True,False,True,False,False
166,Nick Gordon,26,1.7,136,443,405,45,110,28,4,9,50,6,4,19,105,0.272,0.316,0.427,0.743,111.0,0.326,111.0,173,8,10,3,6,1,7846H/1D5,,gordoni01,Twins,2022,L,False,True,False,True,False,False
167,Gilberto Celestino,23,0.3,122,347,311,30,74,12,1,2,24,4,1,32,77,0.238,0.313,0.302,0.615,78.0,0.292,84.0,94,13,2,2,0,0,*87H/9,,celesgi01,Twins,2022,R,False,True,False,True,False,False
168,Max Kepler,29,2.1,115,446,388,54,88,18,1,9,43,3,2,49,66,0.227,0.318,0.348,0.666,92.0,0.305,95.0,135,7,5,0,4,1,*9/H8D,,keplema01,Twins,2022,L,False,True,False,True,False,False
169,Luis Arráez,25,4.2,144,603,547,88,173,31,1,8,49,4,4,50,43,0.316,0.375,0.42,0.795,128.0,0.355,132.0,230,6,3,0,3,2,34DH/5,ASMVP-13SS,arraelu01,Twins,2022,L,False,True,False,True,False,False
170,Byron Buxton,28,3.9,92,382,340,61,76,13,3,28,51,6,0,34,116,0.224,0.306,0.526,0.833,133.0,0.369,138.0,179,0,7,0,1,0,8D/H,AS,buxtoby01,Twins,2022,R,False,True,False,True,False,False
171,Ryan Jeffers,25,0.9,67,236,212,25,44,10,1,7,27,0,0,23,62,0.208,0.285,0.363,0.648,85.0,0.291,84.0,77,6,0,1,0,0,2/DH,,jeffery01,Twins,2022,R,False,True,False,True,False,False
172,Trevor Larnach,25,1.3,51,180,160,22,37,13,0,5,18,0,0,18,57,0.231,0.306,0.406,0.712,102.0,0.309,97.0,65,1,0,0,2,1,79/DH,,larnatr01,Twins,2022,L,False,True,False,True,False,False
173,Jake Cave,29,0.5,54,177,164,17,35,7,3,5,20,2,0,11,49,0.213,0.26,0.384,0.644,82.0,0.3,89.0,63,2,0,0,2,0,79/H8,,caveja01,Twins,2022,L,False,True,False,True,False,False
174,Kyle Garlick,30,0.2,66,162,150,23,35,3,0,9,18,0,0,8,48,0.233,0.284,0.433,0.717,102.0,0.334,116.0,65,2,3,0,1,0,79H/D,,garliky01,Twins,2022,R,False,True,False,True,False,False
175,Alex Kirilloff,24,-0.3,45,156,144,14,36,7,0,3,21,0,0,5,36,0.25,0.29,0.361,0.651,86.0,0.297,88.0,52,5,4,0,2,0,73/9DH,,kirilal01,Twins,2022,L,False,True,False,True,False,False
176,Jermaine Palacios,25,-0.6,30,77,70,8,10,0,0,2,6,0,0,4,27,0.143,0.184,0.229,0.413,18.0,0.206,22.0,16,2,0,1,2,0,64/H135,,palacje01,Twins,2022,R,False,True,False,True,False,False
177,Miguel Sanó,29,-0.8,20,71,60,1,5,0,0,1,3,1,0,9,25,0.083,0.211,0.133,0.345,2.0,0.181,2.0,8,0,1,0,1,0,3/D,,sanomi01,Twins,2022,R,False,True,False,True,False,False
178,Matt Wallner,24,-0.2,18,65,57,4,13,3,0,2,10,1,0,6,25,0.228,0.323,0.386,0.709,103.0,0.31,95.0,22,0,2,0,0,1,9/DH,,wallnma01,Twins,2022,L,False,True,False,True,False,False
179,Sandy León,33,-0.4,25,65,56,6,10,3,0,0,4,0,0,7,23,0.179,0.27,0.232,0.502,46.0,0.233,40.0,13,1,0,2,0,0,2,,leonsa01,Twins,2022,S,False,True,False,True,False,False
180,Mark Contreras,27,0.0,28,61,58,9,7,1,0,3,6,1,0,1,21,0.121,0.148,0.293,0.441,22.0,0.209,21.0,17,2,1,0,1,0,8/9H7,,contrma01,Twins,2022,L,False,True,False,True,False,False
181,Royce Lewis,23,0.3,12,41,40,5,12,4,0,2,5,0,0,1,5,0.3,0.317,0.55,0.867,143.0,0.37,141.0,22,2,0,0,0,0,8-Jun,,lewisro02,Twins,2022,R,False,True,False,True,False,False
182,Tim Beckham,32,-0.6,12,25,25,1,2,0,0,0,1,0,0,0,9,0.08,0.08,0.08,0.16,-54.0,0.068,-77.0,2,2,0,0,0,0,/H7D3,,beckhti01,Twins,2022,R,False,True,False,True,False,False
183,Caleb Hamilton,27,-0.3,22,23,18,5,1,0,0,1,1,0,0,4,14,0.056,0.227,0.222,0.449,30.0,0.219,29.0,4,0,0,1,0,0,2/H3D,,hamilca01,Twins,2022,R,False,True,False,True,False,False
184,Billy Hamilton,31,-0.1,17,8,7,4,0,0,0,0,0,3,1,1,4,0.0,0.125,0.0,0.125,-60.0,0.119,-63.0,0,0,0,0,0,0,H/7D4,,hamilbi02,Twins,2022,R,False,True,False,True,False,False
185,José Godoy,27,0.0,2,5,3,2,0,0,0,0,0,0,0,2,2,0.0,0.4,0.0,0.4,29.0,0.275,73.0,0,0,0,0,0,0,/2,,godoyjo01,Twins,2022,L,False,True,False,True,False,False
186,Jorge López,29,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,AS,lopezjo02,Twins,2022,R,False,True,False,True,False,False
187,Michael Fulmer,29,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,fulmemi01,Twins,2022,R,False,True,False,True,False,False
188,Jhoan Durán,24,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,duranjh01,Twins,2022,R,False,True,False,True,False,False
189,Tyler Duffey,31,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,duffety01,Twins,2022,R,False,True,False,True,False,False
190,Caleb Thielbar,35,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,thielca01,Twins,2022,R,False,True,False,True,False,False
191,Christian Vázquez,32,-0.3,102,355,327,34,73,13,0,6,32,1,0,25,82,0.223,0.28,0.318,0.598,64.0,0.264,59.0,104,11,1,1,1,1,2/3H4D,,vazquch01,Twins,2023,R,False,True,False,False,True,False
192,Donovan Solano,35,1.7,134,450,394,43,111,26,1,5,38,0,0,40,100,0.282,0.369,0.391,0.76,110.0,0.341,114.0,154,8,15,0,1,1,3H45D,,solando01,Twins,2023,R,False,True,False,False,True,False
193,Edouard Julien,24,2.6,109,408,338,60,89,16,1,16,37,3,0,64,128,0.263,0.381,0.459,0.839,130.0,0.366,131.0,155,8,2,1,3,0,4DH/3,ROY-7,julieed01,Twins,2023,L,False,True,False,False,True,False
194,Carlos Correa,28,1.4,135,580,514,60,118,29,2,18,65,0,0,59,131,0.23,0.312,0.399,0.711,94.0,0.312,94.0,205,30,4,0,3,3,*6,,correca01,Twins,2023,R,False,True,False,False,True,False
195,Royce Lewis,24,2.4,58,239,217,36,67,7,0,15,52,6,1,20,55,0.309,0.372,0.548,0.921,149.0,0.393,149.0,119,5,2,0,0,0,5/DH6,,lewisro02,Twins,2023,R,False,True,False,False,True,False
196,Joey Gallo,29,0.5,111,332,282,39,50,9,1,21,40,1,1,48,142,0.177,0.301,0.44,0.741,100.0,0.32,100.0,124,3,2,0,0,1,37H89/D,,gallojo01,Twins,2023,L,False,True,False,False,True,False
197,Michael A. Taylor,32,1.9,129,388,355,48,78,14,1,21,51,13,1,26,130,0.22,0.278,0.442,0.72,93.0,0.316,92.0,157,7,3,3,1,0,*8H/D,,taylomi02,Twins,2023,R,False,True,False,False,True,False
198,Max Kepler,30,2.9,130,491,438,72,114,22,2,24,66,1,1,45,106,0.26,0.332,0.484,0.816,120.0,0.353,124.0,212,9,4,0,4,0,*9H/D,,keplema01,Twins,2023,L,False,True,False,False,True,False
199,Byron Buxton,29,0.8,85,347,304,49,63,17,1,17,42,9,0,35,109,0.207,0.294,0.438,0.731,97.0,0.321,96.0,133,3,4,0,4,2,D/H,,buxtoby01,Twins,2023,R,False,True,False,False,True,False
200,Willi Castro,26,2.7,124,409,358,60,92,18,5,9,34,33,5,34,99,0.257,0.339,0.411,0.75,105.0,0.341,106.0,147,5,12,2,3,1,785H4/691D,,castrwi01,Twins,2023,S,False,True,False,False,True,False
201,Kyle Farmer,32,1.7,120,369,336,49,86,14,2,11,46,2,4,23,86,0.256,0.317,0.408,0.725,97.0,0.322,104.0,137,7,8,0,2,0,456H/37D,,farmeky01,Twins,2023,R,False,True,False,False,True,False
202,Jorge Polanco,29,2.0,80,343,302,38,77,18,0,14,48,4,0,36,88,0.255,0.335,0.454,0.789,114.0,0.341,112.0,137,2,2,0,3,0,45D/H,,polanjo01,Twins,2023,S,False,True,False,False,True,False
203,Ryan Jeffers,26,3.3,96,335,286,46,79,15,2,14,43,3,2,33,93,0.276,0.369,0.49,0.858,133.0,0.368,135.0,140,6,10,4,2,1,2H/D,,jeffery01,Twins,2023,R,False,True,False,False,True,False
204,Alex Kirilloff,25,0.4,88,319,281,35,76,14,1,11,41,1,0,28,80,0.27,0.348,0.445,0.793,116.0,0.343,115.0,125,2,7,0,3,1,3H97/D,,kirilal01,Twins,2023,L,False,True,False,False,True,False
205,Matt Wallner,25,2.2,76,254,213,42,53,11,1,14,41,2,1,28,80,0.249,0.37,0.507,0.877,138.0,0.386,147.0,108,1,13,0,0,1,79/DH,,wallnma01,Twins,2023,L,False,True,False,False,True,False
206,Trevor Larnach,26,0.1,58,212,183,26,39,7,3,8,40,1,1,27,72,0.213,0.311,0.415,0.727,97.0,0.318,99.0,76,2,0,0,2,1,79/HD,,larnatr01,Twins,2023,L,False,True,False,False,True,False
207,José Miranda,25,-0.2,40,152,142,12,30,4,0,3,13,0,0,9,24,0.211,0.263,0.303,0.566,55.0,0.261,58.0,43,8,1,0,0,0,5/D3H,,miranjo01,Twins,2023,R,False,True,False,False,True,False
208,Nick Gordon,27,-0.2,34,93,91,13,16,5,1,2,7,0,0,1,11,0.176,0.185,0.319,0.503,35.0,0.222,29.0,29,1,0,1,0,0,874H/6,,gordoni01,Twins,2023,L,False,True,False,False,True,False
209,Jordan Luplow,29,0.1,32,73,63,10,13,3,0,2,4,2,0,9,19,0.206,0.315,0.349,0.664,83.0,0.302,82.0,22,1,1,0,0,0,7H/39D18,,luplojo01,Twins,2023,R,False,True,False,False,True,False
210,Andrew Stevenson,29,0.1,25,40,37,4,7,1,0,0,1,4,1,2,8,0.189,0.25,0.216,0.466,30.0,0.222,22.0,8,0,1,0,0,0,8H/7,,stevean01,Twins,2023,L,False,True,False,False,True,False
211,Kyle Garlick,31,-0.1,14,30,28,2,5,1,0,2,4,0,0,2,11,0.179,0.233,0.429,0.662,76.0,0.276,68.0,12,0,0,0,0,0,/9H7D,,garliky01,Twins,2023,R,False,True,False,False,True,False
212,Jovani Morán,26,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,moranjo01,Twins,2023,L,False,True,False,False,True,False
213,Emilio Pagán,32,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,paganem01,Twins,2023,L,False,True,False,False,True,False
214,Cole Sands,25,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,sandsco01,Twins,2023,R,False,True,False,False,True,False
215,Ryan Jeffers,27,2.1,122,465,412,56,93,22,0,21,64,3,0,32,94,0.226,0.3,0.432,0.732,103.0,0.322,103.0,178,9,14,1,6,0,2DH,,jeffery01,Twins,2024,R,False,True,False,False,False,True
216,Carlos Santana,38,2.5,150,594,521,63,124,26,0,23,71,4,0,65,99,0.238,0.328,0.42,0.749,109.0,0.329,108.0,219,11,6,0,2,3,*3/HD,GG,santaca01,Twins,2024,S,False,True,False,False,False,True
217,Edouard Julien,25,-0.2,94,301,266,36,53,9,0,8,21,6,0,33,102,0.199,0.292,0.323,0.616,74.0,0.288,76.0,86,2,2,0,0,0,4H/D3,,julieed01,Twins,2024,L,False,True,False,False,False,True
218,Carlos Correa,29,3.7,86,367,319,55,99,20,2,14,54,0,0,40,61,0.31,0.388,0.517,0.905,152.0,0.393,155.0,165,5,3,0,4,4,6/DH,AS,correca01,Twins,2024,R,False,True,False,False,False,True
219,José Miranda,26,1.7,121,429,401,44,114,28,4,9,49,2,2,18,66,0.284,0.322,0.441,0.763,112.0,0.333,112.0,177,13,6,0,4,1,5DH3/6,,miranjo01,Twins,2024,R,False,True,False,False,False,True
220,Manuel Margot,29,-0.9,129,343,315,37,75,17,1,4,31,5,0,21,54,0.238,0.289,0.337,0.626,76.0,0.281,72.0,106,10,3,1,3,0,*79H8/D,,margoma01,Twins,2024,R,False,True,False,False,False,True
221,Byron Buxton,30,3.6,102,388,355,62,99,27,3,18,56,7,2,20,99,0.279,0.335,0.524,0.859,137.0,0.369,136.0,186,3,11,0,2,1,8/HD,,buxtoby01,Twins,2024,R,False,True,False,False,False,True
222,Max Kepler,31,1.0,105,399,368,43,93,21,1,8,42,1,0,22,80,0.253,0.302,0.38,0.682,91.0,0.315,98.0,140,3,5,0,3,0,9H/D,,keplema01,Twins,2024,L,False,True,False,False,False,True
223,Trevor Larnach,27,1.3,112,400,355,59,92,17,0,15,52,4,1,40,89,0.259,0.338,0.434,0.771,116.0,0.341,117.0,154,12,3,0,2,1,7D9H,,larnatr01,Twins,2024,L,False,True,False,False,False,True
224,Willi Castro,27,1.6,158,635,558,89,138,31,5,12,60,14,9,51,150,0.247,0.331,0.385,0.717,102.0,0.326,108.0,215,8,21,1,4,0,64785/H1,AS,castrwi01,Twins,2024,S,False,True,False,False,False,True
225,Royce Lewis,25,0.7,82,325,292,40,68,16,0,16,47,0,0,28,74,0.233,0.295,0.452,0.747,107.0,0.315,99.0,132,5,0,0,5,2,5D/H4,,lewisro02,Twins,2024,R,False,True,False,False,False,True
226,Christian Vázquez,33,-0.2,93,315,294,29,65,10,0,7,27,3,1,11,65,0.221,0.248,0.327,0.575,60.0,0.262,60.0,96,11,1,5,4,0,2/5DH3,,vazquch01,Twins,2024,R,False,True,False,False,False,True
227,Matt Wallner,26,2.2,75,261,220,26,57,17,1,13,37,3,0,24,95,0.259,0.372,0.523,0.894,149.0,0.387,149.0,115,2,16,0,1,0,97DH/1,,wallnma01,Twins,2024,L,False,True,False,False,False,True
228,Austin Martin,25,-1.0,93,257,233,41,59,18,1,1,16,7,3,20,47,0.253,0.318,0.352,0.67,89.0,0.299,87.0,82,4,2,2,0,0,78H4/D,,martiau01,Twins,2024,R,False,True,False,False,False,True
229,Kyle Farmer,33,-0.3,107,242,215,26,46,13,1,5,25,3,5,19,49,0.214,0.293,0.353,0.647,82.0,0.281,80.0,76,6,6,0,2,1,45H6/13D,,farmeky01,Twins,2024,R,False,True,False,False,False,True
230,Brooks Lee,23,-0.2,50,185,172,9,38,6,1,3,27,3,0,11,27,0.221,0.265,0.32,0.585,64.0,0.256,53.0,55,6,0,0,2,2,654/HD,,leebr02,Twins,2024,S,False,True,False,False,False,True
231,Alex Kirilloff,26,-0.6,57,178,159,20,32,8,3,5,20,0,0,15,47,0.201,0.27,0.384,0.653,81.0,0.287,79.0,61,5,1,0,3,0,7D3/H9,,kirilal01,Twins,2024,L,False,True,False,False,False,True
232,DaShawn Keirsey,27,0.0,6,14,13,1,2,0,0,1,1,0,0,0,1,0.154,0.214,0.385,0.599,64.0,0.254,55.0,5,0,1,0,0,0,/87,,keirsda01,Twins,2024,L,False,True,False,False,False,True
233,Michael Helman,28,0.1,9,10,10,2,3,2,0,0,0,0,0,0,3,0.3,0.3,0.5,0.8,120.0,0.329,109.0,5,0,0,0,0,0,/8H759,,helmami01,Twins,2024,R,False,True,False,False,False,True
234,Diego Castillo,26,0.2,4,8,6,3,2,1,0,0,2,0,0,2,1,0.333,0.5,0.5,1.0,184.0,0.439,189.0,3,0,0,0,0,0,/5DH,,castidi02,Twins,2024,R,False,True,False,False,False,True
235,Jair Camargo,24,-0.1,5,7,6,1,0,0,0,0,0,0,0,1,3,0.0,0.143,0.0,0.143,-54.0,0.098,-57.0,0,0,0,0,0,0,/2DH,,camarja01,Twins,2024,R,False,True,False,False,False,True
