,Player,Age,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional,Team,Season,Bats,Red Sox,Yankees,2023,2024
0,Connor Wong,27,2.2,126,403,371,55,87,25,2,9,36,8,2,22,134,0.235,0.288,0.385,0.673,80.0,0.299,78.0,143,4,6,3,1,0,*2H/4D,,wongco01,Red Sox,2023,R,True,False,True,False
1,Triston Casas,23,2.2,132,502,429,66,113,21,2,24,65,0,0,70,126,0.263,0.367,0.49,0.856,129.0,0.369,130.0,210,7,1,0,2,2,*3H/D,ROY-3,casastr01,Red Sox,2023,L,True,False,True,False
2,Christian Arroyo,28,-0.2,66,206,195,23,47,16,0,3,24,1,3,7,45,0.241,0.268,0.369,0.638,70.0,0.266,61.0,72,8,1,1,2,0,4/H56,,arroych01,Red Sox,2023,R,True,False,True,False
3,Kiké Hernández,31,-0.6,86,323,297,38,66,11,0,6,31,3,1,22,68,0.222,0.279,0.32,0.599,62.0,0.268,57.0,95,11,2,0,2,0,648/H,,hernaen02,Red Sox,2023,R,True,False,True,False
4,Rafael Devers,26,3.5,153,656,580,90,157,34,0,33,100,5,1,62,126,0.271,0.351,0.5,0.851,126.0,0.365,126.0,290,15,11,0,3,10,*5/DH6,MVP-18SS,deverra01,Red Sox,2023,L,True,False,True,False
5,Masataka Yoshida,29,1.4,140,580,537,71,155,33,3,15,72,8,0,34,81,0.289,0.338,0.445,0.783,109.0,0.348,112.0,239,20,7,0,2,0,7D/H,ROY-6,yoshima02,Red Sox,2023,L,True,False,True,False
6,Jarren Duran,26,2.1,102,362,332,46,98,34,2,8,40,24,2,24,90,0.295,0.346,0.482,0.828,121.0,0.366,119.0,160,3,3,0,2,1,87H/9D,,duranja01,Red Sox,2023,L,True,False,True,False
7,Alex Verdugo,27,2.6,142,602,546,81,144,37,5,13,54,5,3,45,93,0.264,0.324,0.421,0.745,100.0,0.324,98.0,230,11,6,0,5,1,*9/H,,verdual01,Red Sox,2023,L,True,False,True,False
8,Justin Turner,38,2.1,146,626,558,86,154,31,0,23,96,4,1,51,110,0.276,0.345,0.455,0.8,114.0,0.35,116.0,254,10,11,0,6,0,D34/5H,,turneju01,Red Sox,2023,R,True,False,True,False
9,Adam Duvall,34,1.6,92,353,320,45,79,24,2,21,58,4,0,22,110,0.247,0.303,0.531,0.834,119.0,0.349,114.0,170,0,6,0,5,1,89/H7D,,duvalad01,Red Sox,2023,R,True,False,True,False
10,Rob Refsnyder,32,0.4,89,243,202,31,50,9,1,1,28,7,2,33,47,0.248,0.365,0.317,0.682,87.0,0.327,98.0,64,8,5,1,1,0,7H8/D9,,refsnro01,Red Sox,2023,R,True,False,True,False
11,Reese McGuire,28,-0.3,72,206,187,15,50,12,1,1,16,2,1,11,53,0.267,0.31,0.358,0.668,80.0,0.295,76.0,67,2,1,2,1,0,2H/D,,mcguire01,Red Sox,2023,L,True,False,True,False
12,Pablo Reyes,29,0.4,64,185,167,27,48,9,0,2,20,7,2,14,21,0.287,0.339,0.377,0.716,94.0,0.329,99.0,63,3,0,2,2,0,64H/513D,,reyespa01,Red Sox,2023,R,True,False,True,False
13,Trevor Story,30,0.8,43,168,158,12,32,9,0,3,14,10,3,9,55,0.203,0.25,0.316,0.566,52.0,0.272,58.0,50,2,1,0,0,0,6/DH4,,storytr01,Red Sox,2023,R,True,False,True,False
14,Enmanuel Valdéz,24,0.0,49,149,139,17,37,8,0,6,19,5,1,8,37,0.266,0.311,0.453,0.764,103.0,0.335,102.0,63,4,1,0,0,0,4/H6D,,valdeen01,Red Sox,2023,L,True,False,True,False
15,Yu Chang,27,0.1,39,112,105,12,17,2,0,6,18,4,0,3,34,0.162,0.2,0.352,0.552,45.0,0.252,39.0,37,2,2,2,0,0,6/4H35D,,changyu01,Red Sox,2023,R,True,False,True,False
16,Luis Urías,26,0.0,32,109,89,13,20,4,0,2,13,0,0,14,26,0.225,0.361,0.337,0.698,91.0,0.317,93.0,30,3,5,0,0,0,4/5H,,uriaslu01,Red Sox,2023,R,True,False,True,False
17,Raimel Tapia,29,0.4,39,97,87,14,23,4,1,1,10,6,1,9,19,0.264,0.333,0.368,0.701,90.0,0.325,92.0,32,1,0,0,0,0,H7/89D,,tapiara01,Red Sox,2023,L,True,False,True,False
18,Ceddanne Rafaela,22,0.0,28,89,83,11,20,6,0,2,5,3,1,4,28,0.241,0.281,0.386,0.666,78.0,0.287,70.0,32,2,1,0,1,0,8/H64D,,rafaece01,Red Sox,2023,R,True,False,True,False
19,Wilyer Abreu,24,0.8,28,85,76,10,24,6,0,2,14,3,1,9,23,0.316,0.388,0.474,0.862,132.0,0.373,131.0,36,0,0,0,0,0,78/H9D,,abreuwi02,Red Sox,2023,L,True,False,True,False
20,Bobby Dalbec,28,-0.2,21,53,49,6,10,2,0,1,1,1,0,4,28,0.204,0.264,0.306,0.57,54.0,0.259,48.0,15,0,0,0,0,0,3/H5D46,,dalbebo01,Red Sox,2023,R,True,False,True,False
21,David Hamilton,25,-0.1,15,39,33,2,4,2,0,0,0,2,1,6,10,0.121,0.256,0.182,0.438,22.0,0.215,21.0,6,1,0,0,0,0,6/4H,,hamilda03,Red Sox,2023,L,True,False,True,False
22,Jorge Alfaro,30,-0.1,8,20,17,0,2,0,0,0,0,0,0,2,3,0.118,0.25,0.118,0.368,5.0,0.195,5.0,2,1,1,0,0,0,/2DH,,alfarjo01,Red Sox,2023,R,True,False,True,False
23,Caleb Hamilton,28,-0.1,4,6,5,0,0,0,0,0,0,0,0,1,5,0.0,0.167,0.0,0.167,-49.0,0.115,-51.0,0,0,0,0,0,0,/2,,hamilca01,Red Sox,2023,R,True,False,True,False
24,Kutter Crawford,27,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1/H,,crawfku01,Red Sox,2023,R,True,False,True,False
25,Tayler Scott,31,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,scottta02,Red Sox,2023,R,True,False,True,False
26,John Schreiber,29,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,schrejo01,Red Sox,2023,R,True,False,True,False
27,Nick Pivetta,30,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,pivetni01,Red Sox,2023,R,True,False,True,False
28,Garrett Whitlock,27,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,whitlga01,Red Sox,2023,R,True,False,True,False
29,Chris Martin,37,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,CYA-12,martich02,Red Sox,2023,R,True,False,True,False
30,Kenley Jansen,35,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,AS,janseke01,Red Sox,2023,S,True,False,True,False
31,Connor Wong,28,1.6,126,487,447,54,125,24,1,13,52,8,7,28,114,0.28,0.333,0.425,0.758,110.0,0.327,107.0,190,7,9,1,2,1,23DH/47,,wongco01,Red Sox,2024,R,True,False,False,True
32,Dominic Smith,29,0.0,84,278,249,29,59,20,0,6,34,1,1,25,65,0.237,0.317,0.39,0.706,96.0,0.314,96.0,97,7,4,0,0,0,3H/D1,,smithdo02,Red Sox,2024,L,True,False,False,True
33,Enmanuel Valdéz,25,-0.6,76,223,201,23,43,12,0,6,28,1,1,17,53,0.214,0.27,0.363,0.633,74.0,0.277,70.0,73,4,0,1,4,0,4H/D57,,valdeen01,Red Sox,2024,L,True,False,False,True
34,Ceddanne Rafaela,23,2.8,152,571,544,70,134,23,5,15,75,19,10,15,151,0.246,0.274,0.39,0.664,82.0,0.299,85.0,212,8,7,2,3,1,864/5H9,,rafaece01,Red Sox,2024,R,True,False,False,True
35,Rafael Devers,27,3.7,138,601,525,87,143,34,5,28,83,3,0,67,147,0.272,0.354,0.516,0.871,139.0,0.368,134.0,271,13,3,0,6,14,*5/D,ASMVP-13,deverra01,Red Sox,2024,L,True,False,False,True
36,Tyler O'Neill,29,2.6,113,473,411,74,99,18,0,31,61,4,0,53,159,0.241,0.336,0.511,0.847,132.0,0.365,131.0,210,13,7,0,2,5,79D/H,,oneilty01,Red Sox,2024,R,True,False,False,True
37,Jarren Duran,27,8.7,160,735,671,111,191,48,14,21,75,34,7,54,160,0.285,0.342,0.492,0.834,129.0,0.373,134.0,330,6,6,1,3,1,*87,ASMVP-8,duranja01,Red Sox,2024,L,True,False,False,True
38,Wilyer Abreu,25,3.4,132,447,399,59,101,33,2,15,58,8,3,40,125,0.253,0.322,0.459,0.781,114.0,0.339,112.0,183,7,3,0,5,0,*9H/78D,ROY-6GG,abreuwi02,Red Sox,2024,L,True,False,False,True
39,Masataka Yoshida,30,1.4,108,421,378,45,106,21,0,10,56,2,0,27,52,0.28,0.349,0.415,0.765,112.0,0.341,114.0,157,6,14,0,2,0,DH/7,,yoshima02,Red Sox,2024,L,True,False,False,True
40,David Hamilton,26,2.6,98,317,294,47,73,17,1,8,28,33,4,22,80,0.248,0.303,0.395,0.697,92.0,0.331,95.0,116,1,1,0,0,0,64H,,hamilda03,Red Sox,2024,L,True,False,False,True
41,Rob Refsnyder,33,0.8,93,307,272,32,77,16,1,11,40,2,2,28,78,0.283,0.359,0.471,0.83,129.0,0.354,126.0,128,6,5,0,1,2,79HD,,refsnro01,Red Sox,2024,R,True,False,False,True
42,Triston Casas,24,0.6,63,243,212,28,51,8,0,13,32,0,1,30,77,0.241,0.337,0.462,0.8,120.0,0.34,116.0,98,6,1,0,0,4,3/HD,,casastr01,Red Sox,2024,L,True,False,False,True
43,Romy González,27,0.9,89,216,199,25,53,10,1,6,29,11,3,12,58,0.266,0.306,0.417,0.723,99.0,0.326,100.0,83,5,1,0,4,0,H4635/97D8,,gonzaro01,Red Sox,2024,R,True,False,False,True
44,Reese McGuire,29,0.1,53,158,139,10,29,3,0,3,18,3,0,13,39,0.209,0.28,0.295,0.575,61.0,0.269,60.0,41,4,2,1,3,0,2/HD,,mcguire01,Red Sox,2024,L,True,False,False,True
45,Vaughn Grissom,23,-0.2,31,114,105,10,20,3,0,0,6,2,0,7,24,0.19,0.246,0.219,0.465,31.0,0.234,35.0,23,3,1,0,1,0,4/DH,,grissva01,Red Sox,2024,R,True,False,False,True
46,Trevor Story,31,0.7,26,106,94,8,24,7,0,2,10,6,3,11,33,0.255,0.34,0.394,0.733,104.0,0.325,104.0,37,2,1,0,0,2,6,,storytr01,Red Sox,2024,R,True,False,False,True
47,Danny Jansen,29,0.1,30,96,80,8,15,0,0,3,6,0,0,15,19,0.188,0.323,0.3,0.623,75.0,0.307,90.0,24,3,1,0,0,0,2/HD,,janseda01,Red Sox,2024,R,True,False,False,True
48,Bobby Dalbec,29,-0.8,37,93,83,6,11,2,0,1,8,3,0,8,43,0.133,0.217,0.193,0.41,16.0,0.196,4.0,16,1,1,1,0,0,35/H9D,,dalbebo01,Red Sox,2024,R,True,False,False,True
49,Nick Sogard,26,0.3,31,86,77,13,21,4,0,0,8,3,0,7,25,0.273,0.326,0.325,0.65,82.0,0.299,79.0,25,4,0,0,2,0,4/65H3,,sogarni01,Red Sox,2024,S,True,False,False,True
50,Garrett Cooper,33,-0.9,24,75,70,3,12,4,0,0,5,0,0,3,22,0.171,0.227,0.229,0.455,28.0,0.207,19.0,16,2,2,0,0,0,3/DH,,coopega03,Red Sox,2024,R,True,False,False,True
51,Pablo Reyes,30,-0.7,21,64,60,4,11,2,0,0,5,1,2,3,19,0.183,0.234,0.217,0.451,27.0,0.196,20.0,13,1,1,0,0,0,5/436H1,,reyespa01,Red Sox,2024,R,True,False,False,True
52,Jamie Westbrook,29,-0.1,21,48,40,4,6,2,0,2,7,0,0,4,14,0.15,0.234,0.35,0.584,60.0,0.271,63.0,14,0,1,0,2,0,4/H59D,,westbja02,Red Sox,2024,R,True,False,False,True
53,Mickey Gasper,28,-0.2,13,23,18,1,0,0,0,0,0,0,0,4,8,0.0,0.217,0.0,0.217,-32.0,0.151,-22.0,0,1,1,0,0,0,/4HD3,,gaspemi01,Red Sox,2024,S,True,False,False,True
54,Zack Short,29,-0.2,2,7,7,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,-100.0,0.0,-130.0,0,0,0,0,0,0,/45,,shortza01,Red Sox,2024,R,True,False,False,True
55,Tyler Heineman,33,0.1,2,3,2,0,0,0,0,0,0,0,0,0,1,0.0,0.333,0.0,0.333,5.0,0.239,41.0,0,0,1,0,0,0,/2D,,heinety01,Red Sox,2024,S,True,False,False,True
56,Josh Winckowski,26,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,winckjo01,Red Sox,2024,R,True,False,False,True
57,Chris Martin,38,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,martich02,Red Sox,2024,R,True,False,False,True
58,Chase Shugart,27,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,shugach01,Red Sox,2024,L,True,False,False,True
59,Zach Penrod,27,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,penroza01,Red Sox,2024,L,True,False,False,True
60,Kenley Jansen,36,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,janseke01,Red Sox,2024,S,True,False,False,True
61,Isaiah Campbell,26,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,campbis01,Red Sox,2024,R,True,False,False,True
62,Brennan Bernardino,32,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,bernabr01,Red Sox,2024,L,True,False,False,True
63,Chase Anderson,36,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,anderch01,Red Sox,2024,R,True,False,False,True
64,Kyle Higashioka,33,-0.3,92,260,242,24,57,13,0,10,34,0,0,14,74,0.236,0.274,0.413,0.687,85.0,0.295,81.0,100,5,0,1,3,0,2/HD,,higasky01,Yankees,2023,R,False,True,True,False
65,Anthony Rizzo,33,0.5,99,421,373,45,91,14,0,12,41,0,3,35,97,0.244,0.328,0.378,0.706,94.0,0.309,94.0,141,10,12,0,1,1,3/D,,rizzoan01,Yankees,2023,L,False,True,True,False
66,Gleyber Torres,26,2.9,158,672,596,90,163,28,2,25,68,13,6,67,98,0.273,0.347,0.453,0.8,118.0,0.344,116.0,270,19,3,0,6,0,*4D/H,,torregl01,Yankees,2023,R,False,True,True,False
67,Anthony Volpe,22,3.3,159,601,541,62,113,23,4,21,60,24,5,52,167,0.209,0.283,0.383,0.666,81.0,0.299,80.0,207,10,5,1,2,0,*6/H,ROY-8GG,volpean01,Yankees,2023,R,False,True,True,False
68,DJ LeMahieu,34,1.3,136,562,497,55,121,22,3,15,44,2,2,60,125,0.243,0.327,0.39,0.718,96.0,0.315,96.0,194,14,3,0,2,2,53/4HD,,lemahdj01,Yankees,2023,R,False,True,True,False
69,Oswaldo Cabrera,24,-1.5,115,330,298,35,63,11,0,5,29,8,0,25,72,0.211,0.275,0.299,0.574,58.0,0.259,50.0,89,6,2,3,2,1,795H/46D38,,cabreos01,Yankees,2023,S,False,True,True,False
70,Harrison Bader,29,0.9,84,310,288,40,69,11,2,7,37,17,2,14,56,0.24,0.278,0.365,0.643,75.0,0.285,67.0,105,6,3,1,4,0,8/H,,baderha01,Yankees,2023,R,False,True,True,False
71,Aaron Judge,31,4.5,106,458,367,79,98,16,0,37,75,3,1,88,130,0.267,0.406,0.613,1.019,175.0,0.421,172.0,225,5,0,0,3,9,9D8/H,ASMVP-15,judgeaa01,Yankees,2023,R,False,True,True,False
72,Giancarlo Stanton,33,-0.8,101,415,371,43,71,13,0,24,60,0,0,41,124,0.191,0.275,0.42,0.695,87.0,0.299,84.0,156,11,2,0,1,3,D9/H7,,stantmi03,Yankees,2023,R,False,True,True,False
73,Isiah Kiner-Falefa,28,0.0,113,361,326,39,79,12,1,6,37,14,5,28,70,0.242,0.306,0.34,0.646,78.0,0.29,76.0,111,12,3,1,3,0,875H/9146,,kineris01,Yankees,2023,R,False,True,True,False
74,Jake Bauers,27,-0.9,84,272,242,28,49,15,0,12,30,3,2,27,95,0.202,0.279,0.413,0.693,87.0,0.301,86.0,100,3,0,0,3,0,973H/D,,bauerja01,Yankees,2023,L,False,True,True,False
75,Oswald Peraza,23,-0.7,52,191,173,15,33,8,0,2,14,4,3,13,50,0.191,0.267,0.272,0.539,49.0,0.244,47.0,47,1,5,0,0,0,54/6HD,,perazos02,Yankees,2023,R,False,True,True,False
76,Jose Trevino,30,0.5,55,168,157,15,33,4,0,4,15,0,0,8,22,0.21,0.257,0.312,0.57,56.0,0.272,64.0,49,6,2,1,0,0,2/H,,trevijo01,Yankees,2023,R,False,True,True,False
77,Willie Calhoun,28,-0.2,44,149,134,16,32,7,0,5,16,0,0,14,20,0.239,0.309,0.403,0.712,94.0,0.305,88.0,54,2,0,0,1,1,D/9H7,,calhowi01,Yankees,2023,L,False,True,True,False
78,Billy McKinney,28,0.2,48,147,128,19,29,3,1,6,14,1,0,17,39,0.227,0.32,0.406,0.726,98.0,0.314,93.0,52,1,1,0,1,1,79/8H3,,mckinbi01,Yankees,2023,L,False,True,True,False
79,Josh Donaldson,37,0.0,33,120,106,13,15,1,0,10,15,0,0,12,32,0.142,0.225,0.434,0.659,75.0,0.274,66.0,46,2,0,0,2,0,5/DH1,,donaljo02,Yankees,2023,R,False,True,True,False
80,Everson Pereira,22,-0.6,27,103,93,6,14,4,0,0,10,4,0,8,40,0.151,0.233,0.194,0.427,20.0,0.211,14.0,18,1,2,0,0,0,7,,pereiev01,Yankees,2023,R,False,True,True,False
81,Ben Rortvedt,25,-0.2,32,79,68,6,8,1,0,2,4,0,0,11,19,0.118,0.241,0.221,0.461,28.0,0.218,26.0,15,1,0,0,0,0,2/HD,,rortvbe01,Yankees,2023,L,False,True,True,False
82,Aaron Hicks,33,-0.5,28,76,69,9,13,2,0,1,5,0,0,7,20,0.188,0.263,0.261,0.524,45.0,0.237,40.0,18,0,0,0,0,0,7/8HD,,hicksaa01,Yankees,2023,S,False,True,True,False
83,Austin Wells,23,0.1,19,75,70,8,16,6,0,4,13,0,0,3,14,0.229,0.257,0.486,0.742,97.0,0.307,89.0,34,3,0,0,1,0,2/H,,wellsau01,Yankees,2023,L,False,True,True,False
84,Estevan Florial,25,0.0,19,71,61,5,14,3,1,0,8,3,0,7,20,0.23,0.324,0.311,0.635,76.0,0.296,74.0,19,0,2,0,1,0,8/H,,flories01,Yankees,2023,L,False,True,True,False
85,Franchy Cordero,28,-0.1,24,71,69,9,13,2,0,6,13,0,0,2,25,0.188,0.211,0.478,0.69,81.0,0.296,82.0,33,0,0,0,0,0,9/7H,,cordefr02,Yankees,2023,L,False,True,True,False
86,Jasson Domínguez,20,0.2,8,33,31,6,8,1,0,4,7,1,0,2,8,0.258,0.303,0.677,0.98,158.0,0.409,157.0,21,1,0,0,0,0,/8,,dominja01,Yankees,2023,S,False,True,True,False
87,Greg Allen,30,0.0,22,28,23,6,5,1,1,1,1,3,1,2,10,0.217,0.333,0.478,0.812,119.0,0.389,145.0,11,0,2,1,0,0,7H/98D,,allengr01,Yankees,2023,S,False,True,True,False
88,Austin Wells,24,2.5,115,414,354,42,81,18,1,13,55,1,2,47,87,0.229,0.322,0.395,0.718,103.0,0.318,104.0,140,9,5,1,7,0,*2H/D,ROY-3,wellsau01,Yankees,2024,L,False,True,False,True
89,Anthony Rizzo,34,0.2,92,375,337,38,77,12,0,8,35,0,0,27,65,0.228,0.301,0.335,0.637,81.0,0.297,88.0,113,7,9,0,2,0,3/H,,rizzoan01,Yankees,2024,L,False,True,False,True
90,Gleyber Torres,27,1.8,154,665,587,80,151,26,0,15,63,4,3,65,136,0.257,0.33,0.378,0.709,101.0,0.318,103.0,222,6,3,2,8,0,*4/H,,torregl01,Yankees,2024,R,False,True,False,True
91,Anthony Volpe,23,3.4,160,689,637,90,155,27,7,12,60,28,7,42,156,0.243,0.293,0.364,0.657,86.0,0.296,84.0,232,9,4,2,3,1,*6/H,,volpean01,Yankees,2024,R,False,True,False,True
92,Oswaldo Cabrera,25,1.3,108,326,299,47,74,11,0,8,36,4,2,21,63,0.247,0.296,0.365,0.661,87.0,0.3,90.0,109,6,1,2,3,0,5H34/6791,,cabreos01,Yankees,2024,S,False,True,False,True
93,Alex Verdugo,28,0.8,149,621,559,74,130,28,1,13,61,2,1,49,93,0.233,0.291,0.356,0.647,83.0,0.288,81.0,199,14,1,2,10,0,*79/8,,verdual01,Yankees,2024,L,False,True,False,True
94,Aaron Judge,32,10.8,158,704,559,122,180,36,1,58,144,10,0,133,171,0.322,0.458,0.701,1.159,223.0,0.484,223.0,392,22,9,0,2,20,*8D/97,ASMVP-1SS,judgeaa01,Yankees,2024,R,False,True,False,True
95,Juan Soto,25,7.9,157,713,576,128,166,31,4,41,109,7,4,129,119,0.288,0.419,0.569,0.989,178.0,0.424,179.0,328,10,4,0,4,2,*9/7DH,ASMVP-3SS,sotoju01,Yankees,2024,L,False,True,False,True
96,Giancarlo Stanton,34,0.7,114,459,417,49,97,20,0,27,72,0,0,38,143,0.233,0.298,0.475,0.773,115.0,0.33,112.0,198,17,2,0,2,2,*D/H,,stantmi03,Yankees,2024,R,False,True,False,True
97,Jose Trevino,31,0.6,73,234,209,26,45,5,0,8,28,1,0,20,41,0.215,0.288,0.354,0.642,81.0,0.287,80.0,74,12,2,1,2,0,2/H1,,trevijo01,Yankees,2024,R,False,True,False,True
98,DJ LeMahieu,35,-1.6,67,228,201,19,41,5,0,2,26,0,1,19,35,0.204,0.269,0.259,0.527,51.0,0.244,51.0,52,13,1,1,6,0,35/H,,lemahdj01,Yankees,2024,R,False,True,False,True
99,Trent Grisham,27,0.4,76,209,179,21,34,8,0,9,31,1,1,22,57,0.19,0.29,0.385,0.675,90.0,0.306,95.0,69,5,4,1,2,1,8H/D,,grishtr01,Yankees,2024,L,False,True,False,True
100,Jazz Chisholm Jr.,26,1.5,46,191,176,28,48,7,0,11,23,18,2,14,45,0.273,0.325,0.5,0.825,130.0,0.373,130.0,88,2,0,0,1,0,8-May,,chishja01,Yankees,2024,L,False,True,False,True
101,Ben Rice,25,-0.4,50,178,152,20,26,6,0,7,23,0,1,20,48,0.171,0.264,0.349,0.613,72.0,0.275,74.0,53,2,1,0,5,0,3/H2,,ricebe01,Yankees,2024,L,False,True,False,True
102,Jon Berti,34,0.6,25,74,66,10,18,0,0,1,6,5,1,6,14,0.273,0.342,0.318,0.661,90.0,0.334,108.0,21,2,1,1,0,0,5/H47D,,bertijo01,Yankees,2024,R,False,True,False,True
103,Jasson Domínguez,21,-0.1,18,67,56,8,10,1,0,2,4,5,0,11,19,0.179,0.313,0.304,0.617,77.0,0.315,88.0,17,0,0,0,0,0,7/8HD,,dominja01,Yankees,2024,S,False,True,False,True
104,Jahmai Jones,26,0.0,33,47,42,8,10,1,1,1,4,1,1,2,16,0.238,0.304,0.381,0.685,93.0,0.293,89.0,16,0,2,1,0,0,H/9D745,,jonesja08,Yankees,2024,R,False,True,False,True
105,J.D. Davis,31,-0.2,7,22,19,1,2,1,0,0,1,0,0,3,9,0.105,0.227,0.158,0.385,13.0,0.191,12.0,3,2,0,0,0,0,/3DH,,davisjd01,Yankees,2024,R,False,True,False,True
106,Carlos Narváez,25,0.1,6,15,13,0,3,0,0,0,0,0,0,2,6,0.231,0.333,0.231,0.564,65.0,0.27,69.0,3,0,0,0,0,0,/2H,,narvaca01,Yankees,2024,R,False,True,False,True
107,Oswald Peraza,24,0.1,4,11,10,2,2,0,0,1,1,0,0,1,3,0.2,0.273,0.5,0.773,113.0,0.329,110.0,5,0,0,0,0,0,/5,,perazos02,Yankees,2024,R,False,True,False,True
108,Taylor Trammell,26,-0.1,5,2,1,2,1,0,0,0,0,0,0,1,0,1.0,1.0,1.0,2.0,472.0,0.79,435.0,1,0,0,0,0,0,/H79D,,trammta01,Yankees,2024,L,False,True,False,True
109,Duke Ellis,26,0.1,3,1,1,0,1,0,0,0,0,1,0,0,0,1.0,1.0,1.0,2.0,473.0,1.142,536.0,1,0,0,0,0,0,/H7,,ellisdu01,Yankees,2024,L,False,True,False,True
110,Kevin Smith,27,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/HD,,smithke05,Yankees,2024,R,False,True,False,True
